Artist,Song
Adele,Skyfall
The Weeknd, Save Your Tears
Harry Styles,Watermelon Sugar
Doja Cat, Say So
Imagine Dragons, Thunder
Ariana Grande, Positions
Justin Bieber, Yummy
Taylor Swift, Cardigan
Billie Eilish, Everything I Wanted
Post Malone, Sunflower
Dua Lipa, Break My Heart
Ed Sheeran, Castle on the Hill
Travis Scott, Butterfly Effect
Lizzo, Juice
Sam Smith, Dancing with a Stranger
Maroon 5, Memories
Lady Gaga, Shallow
Drake, In My Feelings
Sia, Cheap Thrills
Twenty One Pilots, Heathens
Ed Sheeran, Shape of You
Ariana Grande," Thank U, Next"
The Weeknd, Blinding Lights
Taylor Swift, Love Story
Beyoncé, Single Ladies
Drake, Hotline Bling
Dua Lipa, Levitating
Post Malone, Circles
Billie Eilish, Bad Guy
Justin Bieber, Sorry
Imagine Dragons, Believer
Cardi B, WAP
Bruno Mars, Uptown Funk
Shawn Mendes, Senorita
Katy Perry, Firework
Sia, Chandelier
Rihanna, Diamonds
Maroon 5, Sugar
Lizzo, Truth Hurts
Coldplay, Viva La Vida
Travis Scott, Sicko Mode
Megan Thee Stallion, Savage
Halsey, Without Me
Panic! At The Disco, High Hopes
Lewis Capaldi, Someone You Loved
The Chainsmokers, Closer
Lady Gaga, Poker Face
Khalid, Young Dumb & Broke
Elton John, Rocket Man
John Legend, All of Me
Twenty One Pilots, Stressed Out
Adele, Hello
Sam Smith, Stay With Me
Camila Cabello, Havana
Eminem, Lose Yourself
Linkin Park, In the End
Adele, Rolling in the Deep
Alicia Keys, No One
Charlie Puth, Attention
Shawn Mendes, Stitches
Zayn, Pillowtalk
Ariana Grande, Break Free
Kanye West, Stronger
Selena Gomez, Wolves
Ed Sheeran, Perfect
Post Malone, Rockstar
Taylor Swift, Shake It Off
Lil Nas X, Old Town Road
Drake, God's Plan
Adele, Someone Like You
Lady Gaga, Bad Romance
Imagine Dragons, Radioactive
The Weeknd, Can't Feel My Face
Ariana Grande, 7 Rings
Taylor Swift, Blank Space
Billie Eilish, Ocean Eyes
Rihanna, Umbrella
Maroon 5, Girls Like You
The Chainsmokers, Paris
Justin Bieber, Love Yourself
Dua Lipa, Don't Start Now
Cardi B, Bodak Yellow
Katy Perry, Dark Horse
Sia, Elastic Heart
Bruno Mars, Just the Way You Are
Lizzo, Good as Hell
Shawn Mendes, In My Blood
Panic! At The Disco, I Write Sins Not Tragedies
Adele, Send My Love (To Your New Lover)
Rihanna, We Found Love
Coldplay, Fix You
Justin Bieber, What Do You Mean?
Travis Scott, Goosebumps
Megan Thee Stallion, Hot Girl Summer
Halsey, Bad at Love
Lewis Capaldi, Before You Go
Demi Lovato, Sorry Not Sorry
Marshmello, Happier
Jonas Brothers, Sucker
